前置←,英語*,→後置,日本語*,誤記・旧称,場面・用法*,種別*,備考
,"0 bit, 0-bit",,0bit,0 bit、0-bit,ビット深度,記法,スペースを空けない
,0-0,,0 〜 0,,数の範囲,記法,全角チルダ問題はどうするかな…
,0-0,,0〜0,,数の範囲,記法,記述を圧縮したい場合
,active,（名詞）,アクティブな（何々）,アクティブ（何々）,トラック、アイテム、テイク等,日本語遣い,言い回しを圧縮したい場合は例外
,add to selection,,追加選択,選択に追加,-,一般,
,adjust,to tempo,（テンポに）補正,,埋め込み情報を持つメディアのインポート,同語別訳,
,adjust,,,,,同語別訳,※検討中
,alias,parameter,パラメータ名を変更,,エフェクトパラメータ,同語別訳,rename parameterも同訳
channel,"alias, aliasing",,（チャンネルを）改名,,入出力チャンネル,同語別訳,
,all,,全て,すべて,-,日本語遣い,平仮名が好まれやすいが、文字数圧縮のため
,alternate path,,代用パス,代理パス,データの自動保存先,旧称改名,
,audio,,音声,オーディオ,-,一般,
,blend,mode,合成モード,ブレンド（モード）,テーマ開発・調整,一般,
,clear,,,,,曖昧語,※検討中
,color,,色を着ける、着色,色を付ける、色付け,動詞,日本語遣い,「色を付ける」は交渉上でオマケすること
,comp,,編集履歴,編集記録,そういう機能名,旧称改名,
,dynamic split,item,アイテムの音量依存分割,音量で分割、動的にアイテムを分割,そういう機能名,旧称改名,
0 bit,"float, FP",,浮動,浮動小数,ビット深度,日本語遣い,記述を圧縮したい場合
0 bit,"float, FP",,浮動小数点数,浮動小数,ビット深度,日本語遣い,
,floating window,,独立ウィンドウ,別ウィンドウ,エフェクトプラグイン,旧称改名,
,free item positioning,mode,アイテム自在配置モード,フリーアイテムポジションモード,そういう機能名,旧称改名,
,FX browser,,エフェクト一覧,エフェクトブラウザ,そういう機能名,旧称改名,
,grouping,,グループ化,グルーピング,アイテムの一括操作機能,同語別訳,
,grouping,,グループ制御,グルーピング,トラック間のコントロール連動機能,同語別訳,
,I/O,,入出力,I/O,-,一般,
,inactive,,非アクティブな,アクティブでない,-,日本語遣い,
,insert,note,（ノートを）追加,（〃）挿入,MIDIエディタ,同語別訳,CC等の他のイベントは普通に「挿入」（※検討中）
,key,,キー,,文字キーボード、ライセンスキー,同語別訳,
,key,,鍵盤,,音楽キーボード,同語別訳,
,key,,調,,スナップ機能や楽譜表示等,同語別訳,音楽理論用語
,latency,,,,,,※検討中
note,length,,音価,（ノートの）長さ,-,同語別訳,
,load,,読み込み,ロード,-,曖昧語,readは「読み取り」
,"map, mapping",,マッピング,,設定行為そのもの,同語別訳,
,"map, mapping",,マップ,,設定成果のエクスポートファイル等,同語別訳,
,mouse modifier,,マウスコマンド,マウスショートカット,そういう機能名,旧称改名,
